Chris Cagle	Anywhere But Here
Cassadee Pope	I Wish I Could Break Your Heart
Mark Chesnutt	Too Cold At Home
Gary Allan	Get Off On The Pain
Ryan Adams	When The Stars Go Blue
Jason Aldean	Fast
Adam Sanders	Sippin' on the Good Times
Linda Ronstadt	Don't Know Much (with Aaron Neville)
Tommy Chayne	King of the Pines (feat. Upchurch)
The Reklaws	Long Live The Night
Pistol Annies	Sugar Daddy
Carrie Underwood	Chaser
Colter Wall	Thinkin' on a Woman
Bobby Bare	The Winner
Chris Lane	Laps Around The Sun
Holly Dunn	Daddy's Hands
Brooks & Dunn	Proud of the House We Built
Blake Shelton	100 Miles
Miranda Lambert	Things That Break
Blake Shelton	Never Lovin' You
Sonny Bama	Lady Karma
America	I Need You
Gone West	Confetti
Morgan Wallen	Yin Yang Girl
Jamey Johnson	Playing The Part
Adam Sanders	About To
Morgan Wallen	Man of the South
Dolly Parton	Push and Pull - from the Dumplin' Original Motion Picture Soundtrack
Anne Murray	Could I Have This Dance
Conway Twitty	It's Only Make Believe
Gillian Welch	Everything Is Free
Cal Smith	Country Bumpkin
Blake Shelton	The Baby
Brad Paisley	You'll Never Leave Harlan Alive
Ryan Bingham	Pontiac
Cash Campbell	Don't Wanna Think About It - Acoustic
Casey Donahew	Feels This Right
Sam Hunt	Vacation - Acoustic Mixtape
Mitchell Tenpenny	If the Boot Fits - Acoustic
Chris Lane	One Girl
Andrew Hyatt	My Kind Of Crazy
Sturgill Simpson	It Ain't All Flowers
Travis Tritt	Can I Trust You With My Heart - 2006 Remastered Version
Josh Ward	Between An Old Memory & Me
Luke Bryan	Like We Ain't Ever
Keith Urban	Boy Gets A Truck
Dr. Hook	Cover of the Rolling Stone
Tim McGraw	My Old Friend
Luke Bryan	My Ol' Bronco
The Lacs	Make Things Right
Chase Rice	U Turn
Eli Young Band	Small Town Kid
Kip Moore	Drive Me Crazy
Lee Brice	You Can't Help Who You Love
Alabama	Feels So Right
Jelly Roll	Killin' Me
Justin Moore	Back That Thing Up
Jake Owen	Keepin' It Country
Little Big Town	Beat Up Bible
Tyler Farr	Suffer in Peace
Bachman-Turner Overdrive	Let It Ride
Dead Man Winter	Destroyer
Bo Phillips	Peace on Earth
Chris Janson	Redneck Life
Jim James	Here In Spirit
Stephanie Quayle	If I Was a Cowboy
Kip Moore	Reckless (Still Growin' Up)
Trace Adkins	Jesus and Jones
Vern Gosdin	Set 'Em Up Joe
Kelsea Ballerini	Machine Heart
LeAnn Rimes	One Way Ticket (Because I Can)
Montgomery Gentry	Where I Come From (Remix) [feat. Colt Ford & The Lacs]
Josh Abbott Band	Kinda Missing You
