Kendrick Lamar	Rap	64	0.489	0.752
Kenny Chesney	Country	34	0.328	0.647
Kento Ohgiya	Anime	13	0.368	0.551
Kevin Garrett	Folk	53	0.477	0.64
Kevin Gates	Hip-Hop	48	0.525	0.779
Kevin Gates	Hip-Hop	53	0.606	0.749
Kevin Ortiz	Pop	67	0.729	0.76
Kevin Penkin	Anime	35	0.284	0.443
Kid Ink	Rap	65	0.496	0.775
Killswitch Engage	Children’s Music	48	0.985	0.26
Kim Mitzo Thompson	Children's Music	0	0.104	0.474
Kimbo Children's Music	Children's Music	0	0.242	0.42
Kimbo Children's Music	Children's Music	0	0.242	0.848
Kimbo Children's Music	Children's Music	0	0.25	0.787
Kimbo Children's Music	Children's Music	0	0.255	0.542
Kimbo Children's Music	Children's Music	0	0.423	0.648
Kimbo Children's Music	Children's Music	1	0.145	0.477
Kimbo Children's Music	Children's Music	1	0.562	0.554
King Krule	Indie	46	0.211	0.402
Kings of Convenience	Folk	47	0.366	0.755
Kodak Black	Rap	72	0.696	0.938
Korn	Alternative	51	0.785	0.576
Kurt Metzger	Comedy	19	0.835	0.436
Kyle Dion	Soul	31	0.578	0.797
LCD Soundsystem	Electronic	45	0.942	0.508
LCD Soundsystem	Electronic	47	0.9	0.315
Lalo Rodriguez	Jazz	57	0.602	0.643
Lasso	Reggaeton	32	0.572	0.391
Last Note.	Anime	16	0.986	0.669
LeToya Luckett	R&B	55	0.429	0.49
Leeland	Alternative	55	0.805	0.426
Lemaitre	Alternative	61	0.785	0.583
Leroy Hutson	Soul	47	0.34	0.485
Less Than Jake	Ska	16	0.896	0.35
Lewis Del Mar	Soul	54	0.753	0.599
Lightnin' Hopkins	Blues	25	0.107	0.538
Lil Baby	Rap	68	0.638	0.823
Lil Wayne	Hip-Hop	64	0.598	0.929
Lil Wayne	Rap	70	0.577	0.578
Lil Wayne	Rap	75	0.684	0.679
Linkin Park	Alternative	51	0.927	0.501
Linkin Park	Children’s Music	57	0.677	0.75
Lirico En La Casa	Reggaeton	26	0.443	0.88
Lisa Lampanelli	Comedy	13	0.516	0.666
Little Apple Band	Children's Music	0	0.415	0.877
Little Feat	Blues	26	0.482	0.501
Little Mix	R&B	62	0.595	0.445
Liz Callaway	Movie	5	0.417	0.279
Lloyd	R&B	44	0.724	0.529
