artist	genre	popularity	c4	c5
Sir Sly	Alternative	45	0.683	0.627
Siv Jakobsen	Folk	45	0.11	0.433
Slayer	Rock	63	0.995	0.295
Slightly Stoopid	Reggae	41	0.413	0.455
Smallpools	Rock	54	0.916	0.556
Smallpools	Rock	60	0.801	0.585
Smokepurpp	Hip-Hop	63	0.715	0.691
Snail Mail	Folk	51	0.535	0.537
Snails	Electronic	46	0.994	0.705
Snakehips	Rap	72	0.703	0.657
Snoh Aalegra	R&B	43	0.567	0.643
Solange	R&B	49	0.779	0.681
Sonic Youth	Blues	42	0.88	0.448
Sports	Soul	43	0.64	0.68
St. Vincent	Indie	50	0.891	0.624
Star Cast	R&B	42	0.422	0.56
Stefflon Don	Hip-Hop	67	0.794	0.535
Stefflon Don	R&B	68	0.621	0.544
Steve Miller Band	Rock	75	0.446	0.424
Stevie Wonder	Soul	50	0.348	0.631
Sturgill Simpson	Alternative	51	0.95	0.324
Sturgill Simpson	Country	55	0.314	0.553
Sublime	Ska	46	0.465	0.853
Sublime With Rome	Reggae	53	0.907	0.636
Sudan Archives	R&B	49	0.861	0.683
Sufjan Stevens	Folk	50	0.228	0.497
Sugar Candy Mountain	Indie	46	0.55	0.509
Suicidal Tendencies	Rock	57	0.804	0.358
Sum 41	Alternative	62	0.868	0.553
Summer Salt	Rock	61	0.51	0.563
Sylvan Esso	Folk	50	0.521	0.807
System Of A Down	Alternative	51	0.957	0.548
System Of A Down	Children’s Music	60	0.987	0.288
T.I.	Dance	53	0.532	0.673
TK Kravitz	Rap	60	0.554	0.73
TV Girl	Indie	50	0.847	0.522
TV Girl	Rock	63	0.871	0.559
Talking Heads	Folk	50	0.846	0.605
Talking Heads	Rock	55	0.851	0.637
Tamar Braxton	Soul	41	0.616	0.492
Tash Sultana	Reggae	49	0.249	0.273
Taylor Swift	Pop	55	0.532	0.467
Ten Tonnes	Children’s Music	59	0.695	0.711
Tenacious D	Rock	60	0.938	0.623
Terence Blanchard	Jazz	54	0.239	0.382
Tevin Campbell	Dance	65	0.711	0.658
The Aces	Indie	45	0.928	0.632
The Aces	Indie	52	0.871	0.68
The Afters	Alternative	49	0.755	0.534
The Aggrovators	Reggae	40	0.42	0.734
The Arcs	Blues	40	0.517	0.581
The Avett Brothers	Children’s Music	48	0.288	0.532
The Avett Brothers	Indie	49	0.288	0.532
The Band CAMINO	Folk	58	0.646	0.546
The Black Eyed Peas	Dance	69	0.648	0.483
The Champs	Rock	58	0.742	0.671
The Chemical Brothers	Electronic	40	0.837	0.561
The Doobie Brothers	Blues	61	0.307	0.543
The Doobie Brothers	Blues	66	0.378	0.758
The Doobie Brothers	Country	49	0.542	0.463
The Emotions	Jazz	43	0.369	0.711
The Field	Electronic	42	0.578	0.593
The Fray	Pop	71	0.729	0.592
The Hollies	Folk	48	0.725	0.546
The Honeysticks	Indie	45	0.394	0.446
The Jam	Ska	44	0.67	0.487
The Kills	Dance	56	0.686	0.637
The Kinks	Rock	64	0.69	0.512
The Lumineers	Folk	42	0.22	0.404
