Los Fabulosos Cadillacs       	     1	   49.00	   49.00	   49.00
Los Prisioneros               	     1	   63.00	   63.00	   63.00
Luther Vandross               	     1	   40.00	   40.00	   40.00
Manu Chao                     	     1	   55.00	   55.00	   55.00
Margot & The Nuclear So And So's	     1	   42.00	   42.00	   42.00
Mariah Carey                  	     2	   57.50	   57.00	   58.00
Mark Diamond                  	     1	   46.00	   46.00	   46.00
Martin Jensen                 	     1	   66.00	   66.00	   66.00
Marty Robbins                 	     1	   51.00	   51.00	   51.00
Marvin Gaye                   	     1	   56.00	   56.00	   56.00
Mary Gauthier                 	     1	   56.00	   56.00	   56.00
Masked Intruder               	     1	   41.00	   41.00	   41.00
Matthew West                  	     1	   46.00	   46.00	   46.00
Matt Maltese                  	     1	   42.00	   42.00	   42.00
Meek Mill                     	     2	   59.00	   53.00	   65.00
Meredith Andrews              	     1	   54.00	   54.00	   54.00
Michelle Simonal              	     1	   50.00	   50.00	   50.00
Mick Jenkins                  	     1	   51.00	   51.00	   51.00
Mike Posner                   	     1	   72.00	   72.00	   72.00
Miranda Lambert               	     1	   40.00	   40.00	   40.00
Missy Elliott                 	     1	   72.00	   72.00	   72.00
Mitchell Tenpenny             	     1	   61.00	   61.00	   61.00
Moneybagg Yo                  	     1	   58.00	   58.00	   58.00
Myles Cameron                 	     1	   42.00	   42.00	   42.00
Natti Natasha                 	     1	   52.00	   52.00	   52.00
Nick Drake                    	     2	   51.00	   44.00	   58.00
Nick Hakim                    	     1	   43.00	   43.00	   43.00
Nick Jonas                    	     1	   61.00	   61.00	   61.00
Nightmares On Wax             	     1	   54.00	   54.00	   54.00
Nina Simone                   	     1	   43.00	   43.00	   43.00
Nine Inch Nails               	     1	   51.00	   51.00	   51.00
Noah Kahan                    	     1	   67.00	   67.00	   67.00
No Use For A Name             	     1	   46.00	   46.00	   46.00
Novo Amor                     	     1	   52.00	   52.00	   52.00
Of Monsters and Men           	     2	   50.00	   46.00	   54.00
Oh No                         	     1	   51.00	   51.00	   51.00
Oh Wonder                     	     1	   62.00	   62.00	   62.00
OK Go                         	     1	   61.00	   61.00	   61.00
Olivia Holt                   	     1	   50.00	   50.00	   50.00
Olivia Lane                   	     1	   54.00	   54.00	   54.00
Ollie MN                      	     1	   64.00	   64.00	   64.00
OMB Peezy                     	     1	   52.00	   52.00	   52.00
One Direction                 	     1	   73.00	   73.00	   73.00
Orden Ogan                    	     1	   50.00	   50.00	   50.00
Ozzy Osbourne                 	     1	   64.00	   64.00	   64.00
Pablo Chill-E                 	     1	   47.00	   47.00	   47.00
Paolo Fresu                   	     1	   41.00	   41.00	   41.00
Papa Roach                    	     1	   70.00	   70.00	   70.00
Parov Stelar                  	     1	   44.00	   44.00	   44.00
Patsy Cline                   	     1	   43.00	   43.00	   43.00
Pearl Jam                     	     1	   58.00	   58.00	   58.00
Penny and Sparrow             	     1	   41.00	   41.00	   41.00
Phil Collins                  	     1	   73.00	   73.00	   73.00
Pistol Annies                 	     1	   49.00	   49.00	   49.00
Playboi Carti                 	     1	   67.00	   67.00	   67.00
Prem Joshua                   	     1	   42.00	   42.00	   42.00
Prezioso Feat. Marvin         	     1	   58.00	   58.00	   58.00
Quality Control               	     1	   65.00	   65.00	   65.00
Queens of the Stone Age       	     1	   45.00	   45.00	   45.00
Quinn XCII                    	     1	   67.00	   67.00	   67.00
Rae Sremmurd                  	     1	   78.00	   78.00	   78.00
Rage Against The Machine      	     2	   56.00	   45.00	   67.00
Rainbow Kitten Surprise       	     3	   61.00	   59.00	   65.00
Randy Houser                  	     1	   70.00	   70.00	   70.00
Ravyn Lenae                   	     1	   60.00	   60.00	   60.00
Red Hot Chili Peppers         	     2	   53.50	   48.00	   59.00
Regulo Caro                   	     1	   66.00	   66.00	   66.00
Reo Cragun                    	     1	   51.00	   51.00	   51.00
Rich The Kid                  	     1	   50.00	   50.00	   50.00
Rick James                    	     1	   62.00	   62.00	   62.00
Rita Ora                      	     1	   62.00	   62.00	   62.00
Rob Zombie                    	     1	   62.00	   62.00	   62.00
Run The Jewels                	     1	   49.00	   49.00	   49.00
Ryan Adams                    	     1	   59.00	   59.00	   59.00
Salmonella Dub                	     1	   43.00	   43.00	   43.00
Sara Bareilles                	     1	   50.00	   50.00	   50.00
ScHoolboy Q                   	     1	   49.00	   49.00	   49.00
S Club 7                      	     1	   65.00	   65.00	   65.00
Seven Lions                   	     1	   48.00	   48.00	   48.00
Shania Twain                  	     1	   50.00	   50.00	   50.00
Sharon Van Etten              	     1	   53.00	   53.00	   53.00
Shawn Mendes                  	     1	   52.00	   52.00	   52.00
Shoreline Mafia               	     1	   54.00	   54.00	   54.00
Sir Sly                       	     1	   45.00	   45.00	   45.00
Siv Jakobsen                  	     1	   45.00	   45.00	   45.00
Slightly Stoopid              	     1	   41.00	   41.00	   41.00
Snail Mail                    	     1	   51.00	   51.00	   51.00
Snoh Aalegra                  	     1	   43.00	   43.00	   43.00
Sonic Youth                   	     1	   42.00	   42.00	   42.00
Star Cast                     	     1	   42.00	   42.00	   42.00
Stefflon Don                  	     2	   67.50	   67.00	   68.00
Steve Miller Band             	     1	   75.00	   75.00	   75.00
Stevie Wonder                 	     1	   50.00	   50.00	   50.00
Sturgill Simpson              	     2	   53.00	   51.00	   55.00
St. Vincent                   	     1	   50.00	   50.00	   50.00
Sublime With Rome             	     1	   53.00	   53.00	   53.00
Sudan Archives                	     1	   49.00	   49.00	   49.00
Sufjan Stevens                	     1	   50.00	   50.00	   50.00
Sugar Candy Mountain          	     1	   46.00	   46.00	   46.00
Suicidal Tendencies           	     1	   57.00	   57.00	   57.00
Summer Salt                   	     1	   61.00	   61.00	   61.00
Sylvan Esso                   	     1	   50.00	   50.00	   50.00
System Of A Down              	     2	   55.50	   51.00	   60.00
Talking Heads                 	     2	   52.50	   50.00	   55.00
Tamar Braxton                 	     1	   41.00	   41.00	   41.00
Tash Sultana                  	     1	   49.00	   49.00	   49.00
Taylor Swift                  	     1	   55.00	   55.00	   55.00
Tenacious D                   	     1	   60.00	   60.00	   60.00
Ten Tonnes                    	     1	   59.00	   59.00	   59.00
Terence Blanchard             	     1	   54.00	   54.00	   54.00
Tevin Campbell                	     1	   65.00	   65.00	   65.00
The Aces                      	     2	   48.50	   45.00	   52.00
The Afters                    	     1	   49.00	   49.00	   49.00
The Aggrovators               	     1	   40.00	   40.00	   40.00
The Arcs                      	     1	   40.00	   40.00	   40.00
The Avett Brothers            	     2	   48.50	   48.00	   49.00
The Band CAMINO               	     1	   58.00	   58.00	   58.00
The Black Eyed Peas           	     1	   69.00	   69.00	   69.00
The Champs                    	     1	   58.00	   58.00	   58.00
The Chemical Brothers         	     1	   40.00	   40.00	   40.00
The Doobie Brothers           	     3	   58.67	   49.00	   66.00
The Emotions                  	     1	   43.00	   43.00	   43.00
The Field                     	     1	   42.00	   42.00	   42.00
The Fray                      	     1	   71.00	   71.00	   71.00
The Hollies                   	     1	   48.00	   48.00	   48.00
The Honeysticks               	     1	   45.00	   45.00	   45.00
The Jam                       	     1	   44.00	   44.00	   44.00
The Kills                     	     1	   56.00	   56.00	   56.00
The Kinks                     	     1	   64.00	   64.00	   64.00
The Lumineers                 	     1	   42.00	   42.00	   42.00
The Marshall Tucker Band      	     1	   57.00	   57.00	   57.00
The Modern Lovers             	     1	   55.00	   55.00	   55.00
The Neighbourhood             	     1	   47.00	   47.00	   47.00
Theory of a Deadman           	     1	   56.00	   56.00	   56.00
The Palms                     	     1	   54.00	   54.00	   54.00
The Paper Kites               	     1	   46.00	   46.00	   46.00
The Psychedelic Furs          	     1	   56.00	   56.00	   56.00
The Seige                     	     1	   49.00	   49.00	   49.00
The Shins                     	     1	   71.00	   71.00	   71.00
The Weeknd                    	     1	   62.00	   62.00	   62.00
Third Day                     	     1	   40.00	   40.00	   40.00
Thomas Rhett                  	     1	   52.00	   52.00	   52.00
Thousand Foot Krutch          	     2	   63.50	   59.00	   68.00
Tierra Whack                  	     1	   48.00	   48.00	   48.00
TK Kravitz                    	     1	   60.00	   60.00	   60.00
Tony Rebel                    	     1	   40.00	   40.00	   40.00
